Cordillera Administrative Region	Apayao
Cordillera Administrative Region	Benguet
Cordillera Administrative Region	Ifugao
Cordillera Administrative Region	Kalinga
Cordillera Administrative Region	Mountain Province
Region I	Ilocos Norte
Region I	Ilocos Sur
Region I	La Union
Region I	Pangasinan
Region II	Batanes
Region II	Cagayan
Region II	Isabela
Region II	Nueva Vizcaya
Region II	Quirino
Region III	Aurora
Region III	Bataan
Region III	Bulacan
Region III	Nueva Ecija
Region III	Pampanga
Region III	Tarlac
Region III	Zambales
Region IV	Batangas
Region IV	Cavite
Region IV	Laguna
Region IV	Quezon
Region IV	Rizal
Region IV-B	
Region IV-B	Marinduque
Region IV-B	Occidental Mindoro
Region IV-B	Oriental Mindoro
Region IV-B	Palawan
Region IV-B	Romblon
Region V	
Region V	Albay
Region V	Camarines Norte
Region V	Camarines Sur
Region V	Catanduanes
Region V	Masbate
Region V	Sorsogon
Region VI	Aklan
Region VI	Antique
Region VI	Capiz
Region VI	Guimaras
Region VI	Iloilo
Region VI	Negros Occidental
Region VII	
Region VII	Bohol
Region VII	Cebu
Region VII	Negros Oriental
Region VII	Siquijor
Region VIII	Biliran
Region VIII	Eastern Samar
Region VIII	Leyte
Region VIII	Northern Samar
Region VIII	Samar
Region VIII	Southern Leyte
Region IX	Zamboanga del Norte
Region IX	Zamboanga del Sur
Region IX	Zamboanga Sibugay
Region X	Bukidnon
Region X	Camiguin
Region X	Lanao del Norte
Region X	Misamis Occidental
Region X	Misamis Oriental
Region XI	Davao de Oro
Region XI	Davao del Norte
Region XI	Davao del Sur
Region XI	Davao Occidental
Region XI	Davao Oriental
Region XII	Cotabato
Region XII	Sarangani
Region XII	South Cotabato
Region XII	Sultan Kudarat
Region XIII	Agusan del Norte
Region XIII	Agusan del Sur
Region XIII	Dinagat Islands
Region XIII	Surigao del Norte
Region XIII	Surigao del Sur
BARMM	
BARMM	Basilan
BARMM	Lanao del Sur
BARMM	Maguindanao
BARMM	Sulu
BARMM	Tawi-Tawi
